OOD/Corruption,clean,gaussian_noise,shot_noise,impulse_noise,speckle_noise,defocus_blur,glass_blur,motion_blur,zoom_blur,gaussian_blur,snow,frost,fog,brightness,contrast,elastic_transform,pixelate,jpeg_compression,saturate,spatter,average
automobile,0.8723,0.4129,0.4972,0.0906,0.4170,0.9255,0.7621,0.9300,0.9326,0.9414,0.7155,0.8583,0.9146,0.8643,0.9376,0.9263,0.8847,0.8511,0.9186,0.7159,0.7684
bird,0.8983,0.5563,0.6237,0.2099,0.5581,0.9374,0.8165,0.9405,0.9425,0.9491,0.7832,0.8878,0.9290,0.8920,0.9463,0.9381,0.9072,0.8823,0.9314,0.7847,0.8157
cat,0.9199,0.5732,0.6487,0.1918,0.5751,0.9558,0.8442,0.9595,0.9609,0.9660,0.8130,0.9142,0.9486,0.9146,0.9634,0.9573,0.9303,0.9068,0.9535,0.8148,0.8356
deer,0.8705,0.4314,0.5085,0.1267,0.4351,0.9232,0.7619,0.9273,0.9302,0.9391,0.7160,0.8553,0.9124,0.8624,0.9356,0.9237,0.8824,0.8491,0.9153,0.7163,0.7711
dog,0.9555,0.7518,0.7996,0.4047,0.7512,0.9758,0.9127,0.9784,0.9791,0.9817,0.8953,0.9533,0.9718,0.9525,0.9799,0.9772,0.9621,0.9485,0.9749,0.8973,0.9002
frog,0.9041,0.5151,0.5925,0.1515,0.5174,0.9463,0.8160,0.9504,0.9524,0.9586,0.7787,0.8957,0.9380,0.8979,0.9557,0.9477,0.9157,0.8884,0.9432,0.7800,0.8123
horse,0.9295,0.6260,0.6929,0.2311,0.6262,0.9612,0.8636,0.9646,0.9659,0.9701,0.8362,0.9248,0.9550,0.9249,0.9678,0.9627,0.9390,0.9185,0.9593,0.8381,0.8529
ship,0.7290,0.2217,0.2828,0.0466,0.2273,0.8110,0.5682,0.8112,0.8171,0.8353,0.5036,0.6871,0.7895,0.7157,0.8306,0.8063,0.7360,0.6875,0.7789,0.5023,0.6194
truck,0.8594,0.3805,0.4658,0.0796,0.3855,0.9159,0.7429,0.9197,0.9227,0.9323,0.6939,0.8436,0.9037,0.8509,0.9284,0.9159,0.8717,0.8362,0.9071,0.6938,0.7525
