OOD/Corruption,clean,gaussian_noise,shot_noise,impulse_noise,speckle_noise,defocus_blur,glass_blur,motion_blur,zoom_blur,gaussian_blur,snow,frost,fog,brightness,contrast,elastic_transform,pixelate,jpeg_compression,saturate,spatter,average
automobile,0.8723,0.5450,0.6053,0.3284,0.6013,0.8960,0.7494,0.9242,0.9261,0.8961,0.8214,0.8619,0.8969,0.8695,0.9103,0.9205,0.8801,0.8535,0.9153,0.8150,0.8044
bird,0.8983,0.6611,0.7062,0.4658,0.7028,0.9157,0.8071,0.9363,0.9376,0.9157,0.8607,0.8898,0.9163,0.8961,0.9259,0.9338,0.9043,0.8842,0.9294,0.8563,0.8472
cat,0.9199,0.6902,0.7380,0.4698,0.7340,0.9357,0.8356,0.9548,0.9564,0.9357,0.8880,0.9150,0.9366,0.9182,0.9451,0.9528,0.9259,0.9088,0.9506,0.8836,0.8697
deer,0.8705,0.5523,0.6090,0.3551,0.6051,0.8941,0.7494,0.9221,0.9236,0.8941,0.8190,0.8592,0.8949,0.8676,0.9081,0.9183,0.8784,0.8512,0.9124,0.8130,0.8049
dog,0.9555,0.8261,0.8544,0.6643,0.8515,0.9645,0.9074,0.9755,0.9765,0.9645,0.9384,0.9533,0.9650,0.9546,0.9697,0.9747,0.9596,0.9496,0.9733,0.9360,0.9257
frog,0.9041,0.6357,0.6887,0.4185,0.6843,0.9232,0.8058,0.9454,0.9472,0.9232,0.8655,0.8978,0.9240,0.9021,0.9343,0.9430,0.9112,0.8902,0.9400,0.8604,0.8472
horse,0.9295,0.7296,0.7716,0.5200,0.7675,0.9437,0.8554,0.9604,0.9619,0.9437,0.9019,0.9255,0.9445,0.9281,0.9520,0.9590,0.9354,0.9203,0.9566,0.8983,0.8853
ship,0.7290,0.3192,0.3732,0.1852,0.3702,0.7651,0.5487,0.8068,0.8068,0.7650,0.6392,0.6961,0.7650,0.7238,0.7868,0.7989,0.7375,0.6925,0.7808,0.6304,0.6460
truck,0.8594,0.5143,0.5775,0.3035,0.5731,0.8847,0.7295,0.9137,0.9162,0.8847,0.8043,0.8470,0.8853,0.8565,0.8994,0.9099,0.8675,0.8385,0.9039,0.7978,0.7883
