OOD/Corruption,clean,gaussian_noise,shot_noise,impulse_noise,speckle_noise,defocus_blur,glass_blur,motion_blur,zoom_blur,gaussian_blur,snow,frost,fog,brightness,contrast,elastic_transform,pixelate,jpeg_compression,saturate,spatter,average
automobile,0.8723,0.2547,0.2745,0.0093,0.2378,0.9418,0.7629,0.9354,0.9333,0.9427,0.7928,0.8640,0.9323,0.8493,0.9585,0.9208,0.8520,0.8622,0.7500,0.7192,0.7333
bird,0.8983,0.4172,0.4344,0.0632,0.3946,0.9492,0.8171,0.9447,0.9431,0.9496,0.8402,0.8921,0.9416,0.8805,0.9620,0.9335,0.8830,0.8898,0.8073,0.7868,0.7814
cat,0.9199,0.4133,0.4332,0.0501,0.3881,0.9666,0.8463,0.9629,0.9615,0.9673,0.8706,0.9197,0.9615,0.9038,0.9771,0.9544,0.9088,0.9138,0.8336,0.8171,0.7985
deer,0.8705,0.2905,0.3081,0.0259,0.2749,0.9396,0.7622,0.9331,0.9308,0.9403,0.7899,0.8601,0.9297,0.8478,0.9565,0.9180,0.8495,0.8604,0.7511,0.7197,0.7379
dog,0.9555,0.6397,0.6533,0.1797,0.6151,0.9820,0.9133,0.9804,0.9795,0.9826,0.9289,0.9571,0.9794,0.9461,0.9879,0.9758,0.9504,0.9522,0.9057,0.8980,0.8681
frog,0.9041,0.3585,0.3779,0.0256,0.3354,0.9591,0.8177,0.9546,0.9529,0.9601,0.8440,0.9016,0.9527,0.8857,0.9717,0.9442,0.8902,0.8970,0.8043,0.7825,0.7760
horse,0.9295,0.4772,0.4956,0.0602,0.4487,0.9708,0.8650,0.9677,0.9664,0.9714,0.8868,0.9300,0.9662,0.9153,0.9800,0.9603,0.9204,0.9243,0.8536,0.8398,0.8165
ship,0.7290,0.1289,0.1401,0.0045,0.1231,0.8339,0.5611,0.8218,0.8181,0.8332,0.5900,0.6862,0.8084,0.6931,0.8674,0.7895,0.6822,0.7035,0.5625,0.5068,0.5942
truck,0.8594,0.2275,0.2467,0.0088,0.2132,0.9325,0.7441,0.9257,0.9232,0.9334,0.7737,0.8487,0.9217,0.8348,0.9508,0.9097,0.8369,0.8477,0.7308,0.6978,0.7183
