OOD/Corruption,clean,gaussian_noise,shot_noise,impulse_noise,speckle_noise,defocus_blur,glass_blur,motion_blur,zoom_blur,gaussian_blur,snow,frost,fog,brightness,contrast,elastic_transform,pixelate,jpeg_compression,saturate,spatter,average
automobile,0.8723,0.2992,0.3276,0.0321,0.3467,0.9409,0.8005,0.9330,0.9340,0.9440,0.7695,0.8532,0.9237,0.8569,0.9476,0.9291,0.8802,0.8529,0.8320,0.7221,0.7499
bird,0.8983,0.4586,0.4827,0.1165,0.4975,0.9488,0.8448,0.9429,0.9435,0.9509,0.8233,0.8833,0.9355,0.8865,0.9537,0.9400,0.9040,0.8832,0.8684,0.7893,0.7976
cat,0.9199,0.4613,0.4891,0.0990,0.5057,0.9657,0.8725,0.9610,0.9618,0.9679,0.8535,0.9102,0.9551,0.9092,0.9698,0.9585,0.9275,0.9075,0.8918,0.8208,0.8154
deer,0.8705,0.3296,0.3549,0.0593,0.3724,0.9387,0.7989,0.9308,0.9316,0.9418,0.7680,0.8499,0.9211,0.8552,0.9456,0.9270,0.8777,0.8513,0.8308,0.7219,0.7538
dog,0.9555,0.6747,0.6940,0.2732,0.7042,0.9816,0.9291,0.9792,0.9796,0.9828,0.9194,0.9507,0.9756,0.9492,0.9837,0.9779,0.9608,0.9485,0.9395,0.9008,0.8830
frog,0.9041,0.4047,0.4318,0.0672,0.4488,0.9583,0.8483,0.9525,0.9536,0.9607,0.8244,0.8918,0.9457,0.8919,0.9633,0.9495,0.9123,0.8896,0.8712,0.7859,0.7928
horse,0.9295,0.5229,0.5481,0.1213,0.5625,0.9699,0.8883,0.9660,0.9667,0.9719,0.8718,0.9215,0.9607,0.9201,0.9736,0.9638,0.9366,0.9188,0.9047,0.8436,0.8331
ship,0.7290,0.1530,0.1697,0.0165,0.1834,0.8344,0.6110,0.8196,0.8191,0.8385,0.5635,0.6770,0.7985,0.7049,0.8480,0.8120,0.7269,0.6920,0.6732,0.5031,0.6087
truck,0.8594,0.2699,0.2969,0.0283,0.3162,0.9319,0.7828,0.9231,0.9241,0.9348,0.7497,0.8375,0.9128,0.8429,0.9390,0.9185,0.8665,0.8377,0.8170,0.7006,0.7345
